SURVEY_YEAR,SURVEY_QUARTER,STRATA,BENCH_LABEL,BA_N_ROLLING,BA_D_ROLLING,BA_PCT_ROLLING,DELTA_PQ
2023,3,PL ,,1404,9423,0.14899713467048711,
2024,2,CL ,Acrisure,173,1212,0.14273927392739275,0.033414515084949012
2025,1,CL ,Broker Benchmark,1544,5775,0.26735930735930735,0.0019034917812423835
2024,2,CL ,Direct Commercial Benchmark,160,920,0.17391304347826086,0.055655782067472487
2025,2,CL ,Marsh McLennan,210,210,1.0,
2025,2,PL,Broker Benchmark,224,6300,0.035555555555555556,
2024,3,CL ,Direct Personal Benchmark,636,1386,0.45887445887445888,0.11164461795290098
2024,3,PL ,Broker Benchmark,732,12740,0.057456828885400317,0.012246925763764148
2025,2,CL ,Hub International,408,408,1.0,
2025,2,CL ,Insureon,346,346,1.0,
2025,2,CL ,Aon,366,366,1.0,
2024,4,CL ,Broker Benchmark,2280,8589,0.26545581557806497,0.050880447718025579
2024,4,CL ,Direct Personal Benchmark,612,944,0.64830508474576276,0.18943062587130388
2023,4,PL ,Direct Personal Benchmark,368,1894,0.19429778247096094,
2025,2,PL ,Aon,144,144,1.0,
2025,2,CL ,Brown & Brown,258,258,1.0,
2025,2,CL ,Lockton Companies,264,264,1.0,
2024,4,CL ,Acrisure,287,1227,0.23390383048084759,0.045744868599257971
2025,2,PL ,Lemonade,326,326,1.0,
2025,2,PL,Acrisure,23,900,0.025555555555555557,
2024,4,CL ,Direct Commercial Benchmark,637,1510,0.42185430463576157,0.10564242662613077
2025,2,PL ,Marsh McLennan,86,86,1.0,
2025,1,PL ,No Awareness,526,1208,0.43543046357615894,0.0
2024,1,CL ,,416,478,0.87029288702928875,0.62587969746841987
2023,4,PL ,,1657,9689,0.17101868097842915,0.022021546307942036
2024,2,CL ,Direct Personal Benchmark,633,1823,0.3472298409215579,0.05517132472511066
2024,4,PL ,No Awareness,526,1208,0.43543046357615894,
2024,1,PL ,,698,737,0.94708276797829039,0.77606408699986118
2024,3,CL ,Broker Benchmark,1852,8631,0.21457536786003939,0.050030341928874844
2025,2,CL ,None of the above,76,76,1.0,
2024,2,PL ,Acrisure,55,1858,0.029601722282023683,0.0021528525296017238
2024,3,CL ,,182,556,0.3273381294964029,-0.12670086771808176
2024,3,CL ,Acrisure,232,1233,0.18815896188158962,0.045419687954196875
2024,2,CL ,,326,718,0.45403899721448465,-0.4162538898148041
2025,2,CL ,Arthur J. Gallagher & Co.,216,216,1.0,
2025,1,CL ,Direct Commercial Benchmark,550,1239,0.44390637610976597,0.022052071474004398
2025,2,PL,No Awareness,355,900,0.39444444444444443,
2025,2,CL,No Awareness,38,450,0.084444444444444447,
2024,2,PL ,,815,1121,0.7270294380017841,-0.22005332997650628
2023,4,CL ,,1564,6399,0.24441318956086888,0.016739628553974539
2024,1,PL ,Broker Benchmark,534,13006,0.041057973243118558,0.0011855649496576304
2023,4,CL ,Direct Commercial Benchmark,81,634,0.12776025236593061,
2024,1,CL ,Acrisure,136,1244,0.10932475884244373,0.0036240462533700946
2025,1,PL ,Acrisure,99,1254,0.078947368421052627,0.037738577212261419
2023,4,PL ,Direct Commercial Benchmark,25,973,0.025693730729701953,
2025,1,CL ,Direct Personal Benchmark,350,411,0.851581508515815,0.20327642377005228
2025,2,PL ,Hub International,60,60,1.0,
2023,4,CL ,Acrisure,89,842,0.10570071258907364,
2025,2,PL ,Arthur J. Gallagher & Co.,54,54,1.0,
2025,2,PL ,Goosehead,22,22,1.0,
2025,1,CL ,Acrisure,487,1125,0.43288888888888888,0.19898505840804129
2024,2,PL ,Broker Benchmark,588,13006,0.045209903121636169,0.0041519298785176115
2024,4,CL ,No Awareness,54,825,0.06545454545454546,
2025,2,CL,Direct Commercial Benchmark,299,900,0.3322222222222222,
2023,4,CL ,Direct Personal Benchmark,369,1274,0.28963893249607536,
2024,1,PL ,Acrisure,51,1858,0.027448869752421959,-0.0012592642188699078
2025,2,PL,Direct Personal Benchmark,220,1800,0.12222222222222222,
2025,2,PL ,None of the above,710,710,1.0,
2025,2,CL,Acrisure,150,450,0.33333333333333331,
2024,4,PL ,Acrisure,75,1820,0.041208791208791208,0.0038461538461538464
2024,2,PL ,Direct Personal Benchmark,616,2818,0.21859474804826118,0.023396418194398971
2024,3,PL ,Direct Commercial Benchmark,30,888,0.033783783783783786,0.0038905453496200851
2025,2,PL ,Hippo,114,114,1.0,
2025,2,PL ,Willis Towers Watson,38,38,1.0,
2023,3,CL ,,1420,6237,0.22767356100689434,
2025,2,CL ,Acrisure,402,696,0.57758620689655171,0.14469731800766283
2025,2,PL ,Brown & Brown,40,40,1.0,
2024,3,CL ,Direct Commercial Benchmark,394,1246,0.3162118780096308,0.14229883453136993
2025,2,CL ,Hiscox,252,252,1.0,
2025,2,CL ,Willis Towers Watson,196,196,1.0,
2024,1,PL ,Direct Commercial Benchmark,34,1460,0.023287671232876714,-0.0024060594968252393
2025,2,PL ,Acrisure,68,650,0.10461538461538461,0.025668016194331983
2025,2,CL,Broker Benchmark,959,3150,0.30444444444444446,
2025,1,PL ,Broker Benchmark,538,8456,0.063623462630085142,0.0013785646709014721
2024,2,PL ,Direct Commercial Benchmark,42,1405,0.0298932384341637,0.0066055672012869868
2024,3,PL ,,562,855,0.65730994152046784,-0.069719496481316257
2023,4,PL ,Acrisure,36,1254,0.028708133971291867,
2024,2,CL ,Broker Benchmark,1396,8484,0.16454502593116455,0.036616684176456221
2023,4,CL ,Broker Benchmark,741,5894,0.12572107227689175,
2024,3,PL ,Direct Personal Benchmark,764,3011,0.25373630023248089,0.035141552184219715
2024,1,PL ,Direct Personal Benchmark,561,2874,0.19519832985386221,0.00090054738290126779
2024,4,PL ,Direct Personal Benchmark,900,3239,0.27786353812905218,0.024127237896571285
2024,1,CL ,Direct Commercial Benchmark,114,964,0.11825726141078838,-0.009502990955142232
2024,1,CL ,Direct Personal Benchmark,559,1914,0.29205851619644724,0.0024195837003718745
2024,4,PL ,Broker Benchmark,793,12740,0.06224489795918367,0.0047880690737833534
2025,2,PL ,Lockton Companies,26,26,1.0,
2025,1,CL ,No Awareness,54,825,0.06545454545454546,0.0
2023,4,PL ,Broker Benchmark,350,8778,0.039872408293460927,
2025,1,PL ,Direct Personal Benchmark,682,2416,0.28228476821192056,0.004421230082868377
2024,3,PL ,Acrisure,68,1820,0.037362637362637362,0.0077609150806136791
2024,1,CL ,Broker Benchmark,1114,8708,0.12792834175470832,0.0022072694778165758